DATE,PLANT,MATERIAL,RANKING
20200102,D074,10000050,1
20200102,D077,10000050,1
20200102,D079,10000050,1
20200102,D080,10000050,1
20200102,D083,10000050,1
20200102,D083,10000069,1
20200102,D084,10000000,1
20200102,D084,10000050,1
20200102,D093,10000050,1
20200102,D098,10000050,1
20200102,D101,10000050,1
20200102,D105,10000050,1
20200102,D145,10000050,1
20200102,D145,10000069,1
20200102,D145,10000906,1
20200103,D074,10000050,1
20200103,D075,10000050,1
20200103,D077,10000050,1
20200103,D079,10000050,1
20200103,D080,10000050,1
20200103,D083,10000050,1
20200103,D083,10000069,1
20200103,D083,10040465,1
20200103,D084,10000050,1
20200103,D085,10000050,1
20200103,D086,10000050,1
20200103,D093,10000050,1
20200103,D098,10000050,1
20200103,D101,10000050,1
20200103,D105,10000050,1
20200103,D111,10000050,1
20200103,D120,10000050,1
20200103,D145,10000050,1
20200103,D145,10000069,1
20200103,D145,10000906,1
20200104,D074,10000050,1
20200104,D074,10000069,1
20200104,D075,10000050,1
20200104,D077,10000050,1
20200104,D079,10000050,1
20200104,D080,10000050,1
20200104,D083,10000050,1
20200104,D083,10000069,1
20200104,D083,10040465,1
20200104,D084,10000050,1
20200104,D085,10000050,1
20200104,D086,10000050,1
20200104,D093,10000050,1
20200104,D098,10000050,1
20200104,D101,10000050,1
20200104,D105,10000050,1
20200104,D111,10000050,1
20200104,D120,10000050,1
20200104,D145,10000050,1
20200104,D145,10000069,1
20200104,D145,10000906,1
20200104,D677,10000050,1
20200105,D077,10000050,1
20200105,D080,10000050,1
20200105,D101,10000050,1
20200106,D074,10000050,1
20200106,D075,10000050,1
20200106,D077,10000050,1
20200106,D079,10000050,1
20200106,D080,10000050,1
20200106,D083,10000050,1
20200106,D083,10000069,1
20200106,D084,10000050,1
20200106,D085,10000050,1
20200106,D086,10000050,1
20200106,D093,10000050,1
20200106,D098,10000050,1
20200106,D101,10000050,1
20200106,D105,10000050,1
20200106,D111,10000050,1
20200106,D120,10000050,1
20200106,D144,10000050,1
20200106,D145,10000050,1
20200106,D145,10000069,1
20200106,D145,10000906,1
20200106,D677,10000050,1
20200107,D074,10000050,1
20200107,D074,10000069,1
20200107,D075,10000050,1
20200107,D077,10000050,1
20200107,D079,10000050,1
20200107,D080,10000050,1
20200107,D083,10000050,1
20200107,D083,10000069,1
20200107,D083,10040465,1
20200107,D084,10000050,1
20200107,D085,10000050,1
20200107,D093,10000050,1
20200107,D098,10000050,1
20200107,D101,10000050,1
20200107,D105,10000050,1
20200107,D111,10000050,1
20200107,D120,10000050,1
20200107,D145,10000050,1
20200107,D145,10000906,1
20200107,D677,10000050,1
20200108,D074,10000050,1
20200108,D075,10000050,1
20200108,D077,10000050,1
20200108,D079,10000050,1
20200108,D080,10000050,1
20200108,D083,10000050,1
20200108,D083,10040465,1
20200108,D084,10000000,1
20200108,D084,10000050,1
20200108,D085,10000050,1
20200108,D086,10000050,1
20200108,D086,10000069,1
20200108,D093,10000050,1
20200108,D098,10000050,1
20200108,D101,10000050,1
20200108,D105,10000050,1
20200108,D111,10000050,1
20200108,D144,10000050,1
20200108,D145,10000050,1
20200108,D145,10000069,1
20200108,D145,10000906,1
20200108,D677,10000050,1
20200109,D074,10000050,1
20200109,D074,10000069,1
20200109,D075,10000050,1
20200109,D077,10000050,1
20200109,D079,10000050,1
20200109,D079,10000061,1
20200109,D080,10000050,1
20200109,D083,10000050,1
20200109,D083,10040465,1
20200109,D084,10000000,1
20200109,D084,10000050,1
20200109,D085,10000050,1
20200109,D086,10000050,1
20200109,D093,10000050,1
20200109,D098,10000050,1
20200109,D101,10000050,1
20200109,D105,10000050,1
20200109,D111,10000050,1
20200109,D120,10000050,1
20200109,D144,10000050,1
20200109,D145,10000050,1
20200109,D145,10000069,1
20200109,D145,10000906,1
20200109,D677,10000050,1
20200110,D074,10000050,1
20200110,D074,10000069,1
